File Name	Japanese Name	English Name	Meaning	Japanese Description	English Description
mas012	ユーリオ	Yurio	Yurio (琉璃) both mean Lapis Lazuli	《ユーリオ・メンデス》 武術の修行を行っている僧です。 全体的にバランスの取れた能力を持ち、 攻撃力、防御力は高めです。	《Yurio Mendes》 A monk that uses martial arts. His stats are well-rounded with slightly higher attack and defense.  
mas013	ノクシー・メッド	Noxie Medd	Noxie is variant of Nox, Roman goddes of Night, Medd = Meadow	《ノクシー・メッド》 魔力の高いシスターです。 防御・魔法防御も高く、ネプトジュノー、 オーンヴィーヴルなどを召喚できます。	《Noxie Medd》 A Sister with strong magic. She has great resistance and can even summon Neptjuno, Oonvievle, and others. 
mas014	アフサーラ	Noelis	Afshara = Arabic for Angel	《ノエリス・アフサーラ》 歌の力により秘術を行う者です。 ネプトジュノー、オーンヴィーヴルなどの 強力なネイティアルを召喚できます。	《Noelis Afshara》 A practitioner of arcane arts through song. Be wary of his Natials, as he can summon Neptjuno and Oonvievle.  
mas015	ブロウマン	Browman	Strathclyde-Briton people of the Scottish/English Borderlands. Browman is a name for someone who lived in Galloway in the southwest of Scotland.	《ブロウマン》 武術の修行に明け暮れる僧です。 全体的にバランスの取れた能力を持ち、 攻撃力、防御力は高めです。	《Browman》Monk A monk devoted entirely to martial arts. Do not take him lightly, as his skills are well-rounded.
mas016	ベルヴァス	Belvas	Yemen surname Rafaga is a car by Honda	《ベルヴァス・ラファーガ》 高い攻撃力と移動力を持つ獣人です。 魔力も高めなので注意が必要です。 弱点は低い魔法防御です。	《Belvas Rafaga》Beast A beastman with high mobility and powerful attacks and magic. His weakness is his low resistance.    
mas017	ゼーオット	Zeott	???	《ゼーオット》 道を究めた武術家です。 攻撃力や防御力が高く、素早さがあります。 魔法防御が低いのが弱点です。	《Zeott》Fighter A fighter who mastered many martial arts. While quick and dangerous, she cannot resist magic.    
mas018	ギル・ガンダロス	Gil Gandaros	Gil = derived from Hebrew Gilead	《ギル・ガンダロス》 退役を迎えた老騎士です。 グリオンやフィフネルなど、 多彩なネイティアルを召喚できます。	《Gil Gandaros》Knight An old and retired knight. He is able to summon powerful Natials like Greon and Fifenall. 
mas019	フェラル・ミリナ	Feral Myrina	Myrina = Queen of the Amazons from Greek myth	《フェラル・ミリナ》 聖なるものの守護を行う戦士です。 ギア・ブロ、アモルタミスなどの ネイティアルを持っています。	《Feral Myrina》Paladin A paladin who protects sacred relics. She is quite durable and can summon Gia-Bro and Amoltamis.
mas020	ガドローム	Gadrome	???	《ガドローム》 闇に属する魔人です。 魔法防御が非常に高く、魔法攻撃はあまり 効きません。防御力が低いのが弱点です。	《Gadrome》Nightmare A demon from the realm of darkness. While quite dangerous and resistant, they are physically frail.  
mas021	ライラ＆フー	Lyra & Fu	Same spelling for Lyra Barton from Nayuta: Boundless Trails	《ライラ・ノッド＆フー》 皇族の血を引くと言われています。 素早さと魔法防御が高めです。 ゼノスブリードを呼び出すことができます。	《Lyra Nodd & Fu》Fraulein A lady supposedly of royal descent. She has incredible speed and can summon the Fire Natial, Xenofiend.     
mas022	ビュレナス	Byrenas	???	《ビュレナス・キース》 老練の魔法使いです。 魔力が高いので注意が必要です。 レグナ・クロックスを呼び出すことができます。	《Byrenas Keith》Sorcerer A seasoned and dangerous sorcerer. He can summon Regna-Croix, one of the strongest Heaven Natials.   
mas023	ストラーゼ	Straze	Stráže is a name of Slavic origin, derived from the Old Slavic term straža, which translates to "guard," "watch," or "sentry." Mireia is a Catalan given name. It is a variant of the protagonist of the 1859 poem "Mirèio".	《ストラーゼ・ミレア》 天才的な魔女です。 魔力が高いので、接近する際には ヴァニッシュの魔法に注意が必要です。	《Straze Mireia》Witch A witch prodigy. With her powerful magic, she can cast Vanish to attack approaching foes.  
mas024	カクノス	Kakunos		《カクノス》 東方からやって来た凄腕の剣士です。 バ・メードを召喚できるので、重要なユニットを 固められないように気をつけましょう。	《Kakunos》Swordsman A skilled swordsman from the East. He can summon the Earth Natial, Ma-gorb, which can heavily cripple your units!    
mas025	ミストロック	Mistlock		《ミストロック》 闇に属する魔人です。 魔法防御が非常に高く、魔法攻撃はあまり 効きません。防御力が低いのが弱点です。	《Mistlock》Nightmare A deadly demon from the real of darkness. Magic is ineffective against it, so use physical attacks.   
mas026	メルレット	Merlet	Romanized Name	《紫のメルレット》 ２４種類すべてのネイティアルと、 ６種類の魔法を使えます。 私に勝つことができますか？	《Purple Merlet》Sorceress A sorceress able to use all Natials and spells. With your skills, can you defeat me? 
mas027	マッザム	Mazzam		《マッザム・ライト》 バランスの取れた能力を持っています。 弓による遠距離攻撃を持ち、全ての ネイティアルを扱えるので、注意しましょう。	《Mazzam Light》Ranger A ranger with balanced stats. They have long-ranged attacks and they can summon every kind of Natial, so be careful.
mas028	スカーラット	Scarlet		《スカーラット》 東方の忍びと呼ばれる者です。 素早さと移動力があるので、 うまく追い詰めて行くことが重要です。	《Scarlet》Shadow He is called the "Eastern Shadow." Because he is fast and mobile, corner him quickly to survive. 
mas029	ギド・カーン	Gid Karn	Romanized Name	《ギド・カーン》 最強のマスターと称される男です。 魔力・素早さが高く、攻撃力もあります。 死力を尽くし、彼を打ち負かしましょう。	《Gid Karn》Tyrant He is known as the strongest Master. His skills are the best of the best. Expect this to be your toughest battle. 
mas030	トロッケン	Trocken	Trocken = a dry German wine Delos is a Greek island	《デロス・トロッケン》 ギド・カーンの側近、七志士の一人です。 有志の内でも知略に富み、七志士の纏め役と 言えます。魔力・素早さが高く注意が必要です。	《Delos Trocken》Duke Gid Karn's right-hand man, and called the "Seven Warrior's Wall," he is well known for his strategic victories. Be on your guard.
mas031	クローネ	Krone	Crown, Currency	《碧のクローネ》 ギド・カーンの側近、七志士の一人です。 ギド・カーンに見出され、聖女と呼ばれるまでに なった実力者です。高い魔力を持っています。	《Azure Krone》Sister One of the Seven Warriors; aide to Gid Karn. Scouted by Gid Karn, her skills with magic earned her the title "Holy Maiden."    
mas032	ウォルタン	Woltan		《ウォルタン》 ギド・カーンの側近、七志士の一人です。 先の大戦でも軍の主力を率い、多くの功績を 立てた将軍です。鉄壁の防御力を誇ります。	《Woltan》Knight One of the Seven Warriors; aide to Gid Karn. He was the head general in the Great War, where he achieved many victories.    
mas033	マグナ・レック	Magna Wreck		《マグナ・レック》 ギド・カーンの側近、七志士の一人です。 ギド・カーン軍の術師たちの指南役のようです。 非常に高い魔力を持っているのが特徴です。	《Magna Wreck》Sorcerer One of the Seven Warriors; aide to Gid Karn. He mentors the mages in Gid Karn's army. His magic is powerful, so be careful.    
mas034	ファルマ	Pharma		《紅のファルマ》 ギド・カーンの側近、七志士の一人です。 マグナ・レックの元で学び、今では最強の術師 と謳われる魔女です。低い防御面が弱点です。	《Scarlet Pharma》Witch One of the Seven Warriors; aide to Gid Karn. Trained under Magna Wreck, she is considered to be the strongest sorceress.  
mas035	マーヤ	Maya		《風のマーヤ》 ギド・カーンの側近、七志士の一人です。 その正体は全くの謎ですが、ギド・カーンの 影を務めるとされます。防御力は低いようです。	《Flurry Maya》Spirit One of the Seven Warriors; aide to Gid Karn. While their identity is a mystery, it is said they serve as Gid Karn's shadow.
mas036	ジアス	Zias	Zias = Arabic for light or radiance	《鋼のジアス》 ギド・カーンの側近、七志士の一人です。 現在ギド・カーン軍最強と謳われる戦士です。 恐ろしいまでの攻撃力と素早さを持っています。	《Steel Zias》Savage One of the Seven Warriors; aide to Gid Karn. Considered to be one of the strongest warriors in Gid Karn's army, so be careful.
mas037	ギド・カーン	Gid Karn	Romanized Name	《ギド・カーン》 最強のマスターと称される男です。 知力・人望にも優れ多くの有志を束ねています。 激戦を制し、女神の微笑を勝ち取ってください。	《Gid Karn》Tyrant He is known as the strongest Master. His intellect and charisma rallied many to his side, so do your best to win this fight.  
